,index,cve_id,cve_desc,cwe_id,new_cwe,result
0,3,CVE-2022-2885,Cross-site Scripting (XSS) - Stored in GitHub repository yetiforcecompany/yetiforcecrm prior to 6.4.0.,CWE-79,CWE-79,0
1,5,CVE-2022-2921,"Exposure of Private Personal Information to an Unauthorized Actor in GitHub repository notrinos/notrinoserp prior to v0.7. This results in privilege escalation to a system administrator account. An attacker can gain access to protected functionality such as create/update companies, install/update languages, install/activate extensions, install/activate themes and other permissive actions.",CWE-359,CWE-359,0
2,7,CVE-2022-2909,A vulnerability was found in SourceCodester Simple and Nice Shopping Cart Script. It has been declared as critical. Affected by this vulnerability is an unknown functionality of the file /mkshop/Men/profile.php. The manipulation leads to unrestricted upload. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-206845 was assigned to this vulnerability.,CWE-434,NVD-CWE-noinfo,0
3,8,CVE-2022-36030,Project-nexus is a general-purpose blog website framework. Affected versions are subject to SQL injection due to a lack of sensitization of user input. This issue has not yet been patched. Users are advised to restrict user input and to upgrade when a new release becomes available.,CWE-89,CWE-89,0
4,11,CVE-2022-2793,"Emerson Electric's Proficy Machine Edition Version 9.00 and prior is vulenrable to CWE-353 Missing Support for Integrity Check, and has no authentication or authorization of data packets after establishing a connection for the SRTP protocol.",CWE-353,CWE-345,0
5,12,CVE-2022-2792,"Emerson Electric's Proficy Machine Edition Version 9.00 and prior is vulenrable to CWE-284 Improper Access Control, and stores project data in a directory with improper access control lists.",CWE-284,CWE-668,0
6,13,CVE-2022-2790,"Emerson Electric's Proficy Machine Edition Version 9.00 and prior is vulenrable to CWE-347 Improper Verification of Cryptographic Signature, and does not properly verify compiled logic (PDT files) and data blocks data (BLD/BLK files).",CWE-347,CWE-347,0
7,14,CVE-2022-2789,"Emerson Electric's Proficy Machine Edition Version 9.00 and prior is vulnerable to CWE-345 Insufficient Verification of Data Authenticity, and can display logic that is different than the compiled logic.",CWE-345,CWE-345,0
8,20,CVE-2022-36233,"Tenda AC9 V15.03.2.13 is vulnerable to Buffer Overflow via httpd, form_fast_setting_wifi_set. httpd.",CWE-787,CWE-787,0
9,25,CVE-2022-36031,Directus is a free and open-source data platform for headless content management. The Directus process can be aborted by having an authorized user update the `filename_disk` value to a folder and accessing that file through the `/assets` endpoint. This vulnerability has been patched and release v9.15.0 contains the fix. Users are advised to upgrade. Users unable to upgrade may prevent this problem by making sure no (untrusted) non-admin users have permissions to update the `filename_disk` field on `directus_files`.,CWE-755,CWE-755,0
10,26,CVE-2022-36009,"gomatrixserverlib is a Go library for matrix protocol federation. Dendrite is a Matrix homeserver written in Go, an alternative to Synapse. The power level parsing within gomatrixserverlib was failing to parse the `""events_default""` key of the `m.room.power_levels` event, defaulting the event default power level to zero in all cases. Power levels are the matrix terminology for user access level. In rooms where the `""events_default""` power level had been changed, this could result in events either being incorrectly authorised or rejected by Dendrite servers. gomatrixserverlib contains a fix as of commit `723fd49` and Dendrite 0.9.3 has been updated accordingly. Matrix rooms where the `""events_default""` power level has not been changed from the default of zero are not vulnerable. Users are advised to upgrade. There are no known workarounds for this issue.",CWE-863,CWE-863,0
11,27,CVE-2022-36008,"Frontier is Substrate's Ethereum compatibility layer. A security issue was discovered affecting parsing of the RPC result of the exit reason in case of EVM reversion. In release build, this would cause the exit reason being incorrectly parsed and returned by RPC. In debug build, this would cause an overflow panic. No action is needed unless you have a bridge node that needs to distinguish different reversion exit reasons and you used RPC for this. There are currently no known workarounds.",CWE-190,CWE-190,0
12,28,CVE-2022-2788,"Emerson Electric's Proficy Machine Edition Version 9.80 and prior is vulnerable to CWE-29 Path Traversal: '\..\Filename', also known as a ZipSlip attack, through an upload procedure which enables attackers to implant a malicious .BLZ file on the PLC. The file can transfer through the engineering station onto Windows in a way that executes the malicious code.",CWE-29,CWE-29,0
13,29,CVE-2022-23460,"Jsonxx or Json++ is a JSON parser, writer and reader written in C++. In affected versions of jsonxx json parsing may lead to stack exhaustion in an address sanitized (ASAN) build. This issue may lead to Denial of Service if the program using the jsonxx library crashes. This issue exists on the current commit of the jsonxx project and the project itself has been archived. Updates are not expected. Users are advised to find a replacement.",CWE-121,CWE-121,0
14,30,CVE-2022-23459,"Jsonxx or Json++ is a JSON parser, writer and reader written in C++. In affected versions of jsonxx use of the Value class may lead to memory corruption via a double free or via a use after free. The value class has a default assignment operator which may be used with pointer types which may point to alterable data where the pointer itself is not updated. This issue exists on the current commit of the jsonxx project. The project itself has been archived and updates are not expected. Users are advised to find a replacement.",CWE-415,CWE-416,0
15,32,CVE-2022-0542,Cross-site Scripting (XSS) - DOM in GitHub repository chatwoot/chatwoot prior to 2.7.0.,CWE-79,CWE-79,0
16,48,CVE-2022-35910,"In Jellyfin before 10.8, stored XSS allows theft of an admin access token.",CWE-79,CWE-79,0
17,50,CVE-2022-2889,Use After Free in GitHub repository vim/vim prior to 9.0.0225.,CWE-416,CWE-416,0
18,52,CVE-2022-1021,Insecure Storage of Sensitive Information in GitHub repository chatwoot/chatwoot prior to 2.6.0.,CWE-79,CWE-79,0
19,57,CVE-2022-1901,In affected versions of Octopus Deploy it is possible to unmask sensitive variables by using variable preview.,CWE-200,CWE-200,0
20,58,CVE-2022-35167,Printix Cloud Print Management v1.3.1149.0 for Windows was discovered to contain insecure permissions.,CWE-287,CWE-287,0
21,59,CVE-2020-23466,Cross Site Scripting (XSS) vulnerability exists in the phpgurukul Online Marriage Registration System 1.0 allows attackers to run arbitrary code via the wzipcode field.,CWE-79,CWE-79,0
22,60,CVE-2022-35540,Hardcoded JWT Secret in AgileConfig <1.6.8 Server allows remote attackers to use the generated JWT token to gain administrator access.,CWE-798,CWE-798,0
